R1ID,ID,Dist,Gen
716,12236,3,3
717,12237,3,3
718,12238,3,3
719,12431,4,3
720,12432,4,3
721,12433,4,3
722,12626,4,3
723,12627,3,3
724,12628,3,3
725,12821,3,3
726,12822,3,3
727,12823,3,3
728,13016,5,3
729,13017,5,3
730,13018,5,3
731,13211,5,3
732,13212,4,3
733,13213,4,3
734,13214,4,3
735,13407,4,3
736,13408,4,3
737,13409,4,3
738,13410,3,3
739,13603,6,3
740,13604,6,3
741,13605,5,3
742,13606,5,3
743,13799,5,3
744,13800,4,3
745,13801,4,3
746,13802,4,3
747,13995,3,3
748,13996,3,3
749,13997,3,3
750,13998,3,3
751,14191,6,3
752,14192,6,3
753,14193,5,3
754,14194,5,3
755,14387,5,3
756,14388,4,3
757,14389,4,3
758,14390,4,3
759,14391,4,3
760,14392,4,3
761,14393,4,3
762,14394,3,3
763,14395,3,3
764,14396,3,3
765,14397,3,3
766,14398,3,3
767,14399,3,3
768,3456,4,4
769,3457,4,4
770,3458,5,4
771,3459,5,4
772,3460,5,4
773,3653,4,4
774,3654,4,4
775,3655,4,4
776,3656,5,4
777,3849,5,4
778,3850,5,4
779,3851,4,4
780,3852,4,4
781,4045,4,4
782,4046,4,4
783,4047,4,4
784,4240,4,4
785,4241,4,4
786,4242,4,4
787,4243,4,4
788,4436,4,4
789,4437,4,4
790,4438,4,4
791,4631,4,4
792,4632,4,4
793,4633,4,4
794,4634,4,4
795,4635,4,4
796,4636,4,4
797,4637,4,4
798,4638,4,4
799,4639,4,4
800,4640,4,4
801,4641,4,4
802,4642,4,4
803,4643,4,4
804,4644,4,4
805,4645,4,4
806,4646,4,4
807,4647,4,4
808,4648,4,4
809,4649,4,4
810,4650,4,4
811,4459,4,4
812,4460,4,4
813,4461,4,4
814,4462,4,4
815,4463,4,4
816,4464,4,4
817,4465,4,4
818,4466,4,4
819,4467,4,4
820,4468,4,4
821,4469,4,4
822,4470,4,4
823,4471,4,4
824,4472,4,4
825,4473,4,4
826,4474,4,4
827,4475,4,4
828,4476,4,4
829,4477,4,4
830,4670,5,4
831,4671,5,4
832,4672,5,4
833,4673,5,4
834,4674,5,4
835,4867,4,4
836,4868,5,4
837,4869,5,4
838,5062,5,4
839,5063,5,4
840,5064,5,4
841,5065,5,4
842,5258,5,4
843,5259,5,4
844,5452,4,4
845,5453,5,4
846,5646,5,4
847,5647,5,4
848,5840,6,4
849,6033,5,4
850,6034,5,4
851,6227,6,4
852,6228,6,4
853,6421,7,4
854,6614,6,4
855,6807,6,4
856,7000,7,4
857,7193,5,4
858,7386,5,4
859,7579,7,4
860,7772,5,4
861,7965,5,4
862,8158,6,4
863,8351,5,4
864,8352,5,4
865,8545,5,4
866,8738,6,4
867,8739,6,4
868,8932,5,4
869,9125,5,4
870,9318,6,4
871,9319,6,4
872,9512,4,4
873,9513,5,4
874,9514,5,4
875,9707,5,4
876,9708,6,4
877,9709,6,4
878,9902,6,4
879,9903,6,4
880,10096,4,4
881,10097,4,4
882,10098,5,4
883,10291,5,4
884,10292,5,4
885,10293,6,4
886,10486,6,4
887,10487,6,4
888,10680,4,4
889,10681,4,4
890,10682,4,4
891,10875,5,4
892,10876,5,4
893,10877,5,4
894,11070,6,4
895,11071,6,4
896,11264,4,4
897,11265,5,4
898,11266,5,4
899,11459,5,4
900,11460,5,4
901,11461,5,4
902,11654,4,4
903,11655,5,4
904,11656,5,4
905,11849,4,4
906,11850,4,4
907,11851,4,4
908,12044,4,4
909,12045,4,4
910,12046,4,4
911,12239,4,4
912,12240,4,4
913,12241,4,4
914,12434,5,4
915,12435,4,4
916,12436,4,4
917,12629,4,4
918,12630,4,4
919,12631,4,4
920,12824,6,4
921,12825,5,4
922,12826,5,4
923,13019,6,4
924,13020,5,4
925,13021,5,4
926,13022,5,4
927,13215,5,4
928,13216,5,4
929,13217,5,4
930,13218,4,4
931,13411,7,4
932,13412,7,4
933,13413,5,4
934,13414,5,4
935,13607,6,4
936,13608,5,4
937,13609,5,4
938,13610,5,4
939,13803,4,4
940,13804,4,4
941,13805,4,4
942,13806,4,4
943,13999,6,4
944,14000,6,4
945,14001,5,4
946,14002,5,4
947,14195,6,4
948,14196,5,4
949,14197,5,4
950,14198,5,4
951,14199,5,4
952,14200,5,4
953,14201,5,4
954,14202,4,4
955,14203,4,4
956,14204,4,4
957,14205,4,4
958,14206,4,4
959,14207,4,4
960,3264,5,5
961,3265,5,5
962,3266,6,5
963,3267,6,5
964,3268,6,5
965,3461,6,5
966,3462,6,5
967,3463,6,5
968,3464,7,5
969,3657,6,5
970,3658,6,5
971,3659,5,5
972,3660,5,5
973,3853,5,5
974,3854,5,5
975,3855,5,5
976,4048,5,5
977,4049,5,5
978,4050,5,5
979,4051,5,5
980,4244,5,5
981,4245,5,5
982,4246,5,5
983,4439,5,5
984,4440,5,5
985,4441,5,5
986,4442,5,5
987,4443,5,5
988,4444,5,5
989,4445,5,5
990,4446,5,5
991,4447,5,5
992,4448,5,5
993,4449,5,5
994,4450,5,5
995,4451,5,5
996,4452,5,5
997,4453,5,5
