R4ID,ID,Dist,Ranitas+AF8-C4M,C4M
614,29238,2,0,0
615,29045,2,0,0
616,28851,3,0,0
617,29044,2,0,0
618,28657,3,0,0
619,28850,3,0,0
620,28463,2,0,0
621,28656,3,0,0
622,28269,3,0,0
623,28462,2,0,0
624,28268,3,0,0
625,28074,3,0,0
626,28267,3,0,0
627,27880,2,0,0
628,28073,3,0,0
629,27879,2,0,0
630,27685,3,0,0
631,27878,2,0,0
632,27684,3,0,0
633,27683,3,0,0
634,27682,4,0,0
635,27488,4,0,0
636,27681,4,0,0
637,27487,5,0,0
638,27486,5,0,0
639,27485,5,0,0
640,27484,4,0,0
641,27483,4,0,0
642,27289,2,0,0
643,27482,4,0,0
644,27288,2,0,0
645,27287,2,0,0
646,27286,2,0,0
647,27285,2,0,0
648,27284,2,0,0
649,27283,2,0,0
650,27089,2,0,0
651,27282,2,0,0
652,27088,3,0,0
653,27087,3,0,0
654,27086,3,0,0
655,27085,3,0,0
656,27084,3,0,0
657,27083,3,0,0
658,27082,2,0,0
659,26888,2,0,0
660,27081,2,0,0
661,26887,3,0,0
662,26886,3,0,0
663,26885,3,0,0
664,26884,3,0,0
665,26883,3,0,0
666,26882,3,0,0
667,26688,2,0,0
668,26881,3,0,0
669,17471,3,0,0
670,17663,4,0,0
671,17855,4,0,0
672,18047,4,0,0
673,18238,4,0,0
674,18430,3,0,0
675,18622,3,0,0
676,18814,3,0,0
677,19005,4,0,0
678,19197,3,0,0
679,19388,3,0,0
680,19579,4,0,0
681,19770,4,0,0
682,19769,3,0,0
683,19960,3,0,0
684,19959,3,0,0
685,20150,4,0,0
686,20149,4,0,0
687,20340,4,0,0
688,20339,4,0,0
689,20338,4,0,0
690,20337,4,0,0
691,20528,4,0,0
692,20527,4,0,0
693,20526,4,0,0
694,20525,4,0,0
695,20524,4,0,0
696,20523,4,0,0
697,20329,5,0,0
698,20522,5,0,0
699,20328,5,0,0
700,20327,5,0,0
701,20326,5,0,0
702,20132,4,0,0
703,20325,5,0,0
704,20131,4,0,0
705,20130,4,0,0
706,20129,4,0,0
707,20128,4,0,0
708,19934,3,0,0
709,20127,4,0,0
710,19933,3,0,0
711,19932,3,0,0
712,19931,3,0,0
713,19930,3,0,0
714,19929,3,0,0
715,19928,3,0,0
716,19927,3,0,0
717,19926,3,0,0
718,19925,3,0,0
719,19924,3,0,0
720,19923,3,0,0
721,19922,3,0,0
722,19921,3,0,0
723,19920,3,0,0
724,19919,3,0,0
725,19918,3,0,0
726,19917,3,0,0
727,20108,4,0,0
728,20300,4,0,0
729,20492,4,0,0
730,20683,3,0,0
731,20875,3,0,0
732,21066,3,0,0
733,21257,4,0,0
734,21448,4,0,0
735,21639,4,0,0
736,21830,4,0,0
737,22021,4,0,0
738,22212,4,0,0
739,22403,4,0,0
740,22594,4,0,0
741,22785,4,0,0
742,22976,4,0,0
743,23167,4,0,0
744,23358,4,0,0
745,23549,4,0,0
746,23740,4,0,0
747,23931,4,0,0
748,24122,4,0,0
749,24313,4,0,0
750,24504,4,0,0
751,24695,4,0,0
752,24886,4,0,0
753,25077,4,0,0
754,25268,5,0,0
755,25459,5,0,0
756,25650,5,0,0
757,25841,5,0,0
758,26032,5,0,0
759,26223,3,0,0
760,26414,5,0,0
761,26413,5,0,0
762,26605,3,0,0
763,26796,3,0,0
764,26987,3,0,0
765,27179,4,0,0
766,27370,4,0,0
767,27562,3,0,0
768,27754,3,0,0
769,27945,3,0,0
770,28137,5,0,0
771,28329,5,0,0
772,28520,3,0,0
773,28712,4,0,0
774,28904,4,0,0
775,29095,4,0,0
776,29287,4,0,0
777,29479,4,0,0
778,29670,4,0,0
779,29861,4,0,0
780,30052,4,0,0
781,30243,4,0,0
782,30434,4,0,0
783,30625,4,0,0
784,30816,4,0,0
785,31007,4,0,0
786,31006,4,0,0
787,31197,4,0,0
788,31388,4,0,0
789,31387,3,0,0
790,31578,4,0,0
791,31577,4,0,0
792,31576,4,0,0
793,31575,4,0,0
794,31574,4,0,0
795,31573,4,0,0
796,31764,4,0,0
797,31763,4,0,0
798,31762,3,0,0
799,31761,3,0,0
800,31760,3,0,0
801,31566,3,0,0
802,31759,3,0,0
803,31565,3,0,0
804,31564,3,0,0
805,31370,5,0,0
806,31563,3,0,0
807,31369,5,0,0
808,31175,5,0,0
809,31368,5,0,0
810,31174,4,0,0
811,31173,4,0,0
812,30979,3,0,0
813,31172,4,0,0
814,30978,3,0,0
815,30977,3,0,0
816,30783,4,0,0
817,30976,4,0,0
818,30203,5,0,0
819,30396,4,0,0
820,30589,4,0,0
821,30782,4,0,0
822,29623,3,0,0
823,29816,3,0,0
824,30009,3,0,0
825,30202,3,0,0
826,29430,3,0,0
827,29237,3,0,0
828,29043,4,0,0
829,29236,4,0,0
830,28849,4,0,0
831,29042,4,0,0
832,28655,4,0,0
833,28848,4,0,0
834,28461,4,0,0
835,28654,5,0,0
836,28460,4,0,0
837,28266,4,0,0
838,28459,4,0,0
839,28072,6,0,0
840,28265,4,0,0
841,28071,6,0,0
842,27877,4,0,0
843,28070,6,0,0
844,27876,4,0,0
845,27875,4,0,0
846,27874,5,0,0
847,27680,5,0,0
848,27873,5,0,0
849,27679,6,0,0
850,27678,6,0,0
851,27677,6,0,0
852,27676,5,0,0
853,27675,5,0,0
854,27481,6,0,0
855,27674,5,0,0
856,27480,6,0,0
857,27479,6,0,0
858,27478,5,0,0
859,27477,5,0,0
860,27476,5,0,0
861,27475,5,0,0
862,27281,3,0,0
863,27474,5,0,0
864,27280,4,0,0
865,27279,4,0,0
866,27278,4,0,0
867,27277,4,0,0
868,27276,4,0,0
869,27275,4,0,0
870,27274,3,0,0
871,27080,3,0,0
872,27273,3,0,0
873,27079,4,0,0
874,27078,4,0,0
875,27077,4,0,0
876,27076,4,0,0
877,27075,4,0,0
878,27074,4,0,0
879,26880,4,0,0
880,27073,4,0,0
881,18239,5,0,0
882,18431,4,0,0
883,18623,4,0,0
884,18815,4,0,0
885,19006,5,0,0
886,19198,4,0,0
887,19389,4,0,0
888,19580,5,0,0
889,19771,5,0,0
890,19962,5,0,0
891,19961,4,0,0
892,20152,6,0,0
893,20151,6,0,0
894,20342,5,0,0
895,20341,5,0,0
896,20532,5,0,0
897,20531,5,0,0
898,20530,5,0,0
899,20529,5,0,0
900,20720,7,0,0
901,20719,7,0,0
902,20718,7,0,0
903,20717,7,0,0
904,20716,7,0,0
905,20715,7,0,0
906,20521,6,0,0
907,20714,8,0,0
908,20520,6,0,0
909,20519,6,0,0
910,20518,6,0,0
911,20324,5,0,0
912,20517,6,0,0
913,20323,5,0,0
914,20322,5,0,0
915,20321,5,0,0
916,20320,5,0,0
917,20126,6,0,0
918,20319,5,0,0
919,20125,6,0,0
920,20124,6,0,0
